time_alvo,ano,jogo,casa_ou_adversario,time_casa,time_visitante,estadio,torneio,placar_casa,placar_visitante,tecnico_casa,tecnico_visitante,nome_do_jogador,numero_do_jogador,posicao_do_jogador,substituto,capitao,passes_totais,passes_precisos,bolas_longas_totais,passes_precisos_longos,duelos_ganhos,afastamentos_totais,sofreu_faltas,defesas,minutos_jogados,toques,avaliacao,posses_de_bola_perdidas,cruzamentos_totais,cruzamentos_precisos,disputas_aereas_perdidas,duelos_perdidos,disputas_totais,disputas_ganhas,interceptacoes_ganhas,faltas,passes_chave,disputas_aereas_ganhas,desafios_perdidos,carrinhos_totais,tentativas_de_gol_bloqueadas,bloqueios_de_jogador_de_linha,perda_de_posse,tentativas_de_gol_no_alvo,gols,chutes_fora_do_alvo,socos_do_goleiro,acoes_do_goleiro_libero,acoes_precisas_do_goleiro_libero,assistencias,grandes_chances_criadas,impedimentos_totais,chutes_defendidos_de_dentro_da_area,grandes_chances_perdidas,penalti_ganho,boas_saidas_altas_do_goleiro,bola_na_trave,penalti_cometido,defesa_de_penalti,defesa_em_penalti_na_disputa_de_penaltis,gol_em_penalti_na_disputa_de_penaltis,erro_em_penalti_na_disputa_de_penaltis,penalti_perdido,erro_que_levou_a_um_chute,carrinho_de_ultimo_homem,afastamento_em_cima_da_linha,gols_contra,erro_que_levou_a_um_gol,gols_esperados,gols_evitatados,assistencias_esperadas
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Fernando Prass,1.0,G,False,,19.0,12.0,12.0,5.0,,1.0,,4.0,90.0,27.0,7.8,7.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Marcos Rocha,2.0,D,False,,62.0,53.0,9.0,4.0,3.0,2.0,,,90.0,91.0,7.2,17.0,2.0,1.0,,4.0,2.0,1.0,1.0,2.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Antônio Carlos,25.0,D,False,,50.0,45.0,4.0,2.0,1.0,1.0,,,90.0,56.0,7.3,6.0,,,,,,,1.0,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Edu Dracena,3.0,D,False,,62.0,56.0,8.0,3.0,4.0,1.0,1.0,,90.0,68.0,7.2,6.0,,,1.0,2.0,,,,1.0,,3.0,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Victor Luis,26.0,D,False,,49.0,46.0,3.0,2.0,2.0,3.0,2.0,,90.0,75.0,7.1,6.0,2.0,,,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Bruno Henrique,19.0,M,False,True,78.0,73.0,8.0,5.0,3.0,1.0,1.0,,90.0,92.0,6.5,7.0,1.0,,1.0,8.0,,,2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Thiago Santos,5.0,M,False,,38.0,31.0,3.0,1.0,8.0,2.0,,,90.0,45.0,6.9,7.0,,,1.0,3.0,,,,2.0,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Zé Rafael,8.0,M,False,,28.0,22.0,,,5.0,1.0,,,62.0,42.0,6.8,9.0,,,,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Gustavo Scarpa,14.0,M,False,,35.0,27.0,5.0,1.0,10.0,,4.0,,70.0,55.0,7.5,14.0,5.0,3.0,,3.0,5.0,4.0,,2.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Dudu,7.0,M,False,,25.0,20.0,1.0,,6.0,,2.0,,45.0,39.0,7.1,11.0,4.0,1.0,,3.0,3.0,2.0,,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Deyverson,16.0,F,False,,18.0,11.0,,,14.0,1.0,4.0,,90.0,36.0,8.0,8.0,,,3.0,3.0,2.0,2.0,,2.0,,7.0,,1.0,2.0,,,3.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Carlos Eduardo,37.0,M,True,,16.0,10.0,,,6.0,,1.0,,45.0,30.0,7.1,10.0,,,1.0,3.0,4.0,4.0,2.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Lucas Lima,20.0,M,True,,10.0,9.0,,,1.0,,1.0,,28.0,18.0,6.6,4.0,2.0,1.0,,2.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Felipe Melo,30.0,M,True,,6.0,5.0,1.0,,,,,,20.0,8.0,6.3,2.0,,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Jailson,42.0,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Weverton,21.0,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Gustavo Gómez,15.0,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Diogo Barbosa,6.0,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Luan Garcia,13.0,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Mayke,12.0,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Felipe Pires,27.0,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Moisés,10.0,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
